🚀 数据加载：15 只，2022-06-01 ~ 2026-08-27 ...
00:20:08 [INFO] core.data_loader.freestockdb: 🔗 已连接到 free-stockdb 本地服务: 127.0.0.1:7899
00:20:08 [INFO] core.data_loader.freestockdb: 📊 批量加载: 15 只股票，1031 个交易日
00:20:08 [INFO] core.data_loader.freestockdb: ✅ 成功加载 15 只股票，1031 个交易日
00:20:08 [INFO] core.data_loader.freestockdb: 📅 日期范围: 2022-06-01 00:00:00 至 2026-08-27 00:00:00
✅ 数据加载完成：1031 交易日，耗时 0.6s
🎯 模式: 标准 风控=0.3 止损=None
📈 趋势线过滤器已启用: multi（multi 阈值=2）
00:20:15 [INFO] core.backtest.pipeline: 开始回测: 2022-06-02 至 2026-08-27
00:20:15 [INFO] core.backtest.pipeline: 初始资金: 500,000.00 元
00:20:15 [INFO] core.backtest.pattern_mixin: 📚 形态信号索引预加载完成：106602 条 / 52852 个(股票×日期)组合

======================================================================
📊 完整交易汇总（共 2051 笔）
  策略：SimpleStrategy
======================================================================
日期           股票       操作           价格     数量            总资产      总仓位
2022-10-20   002156   BUY       16.17    800     496,540.00    72.2%
2022-10-20   002309   BUY        4.91   2600     496,540.00    74.8%
2022-10-20   002792   BUY        8.55   1500     496,540.00    77.3%
2022-10-20   002735   BUY       14.24    900     496,540.00    79.9%
2022-10-20   002918   BUY       13.96    900     496,540.00    82.5%
2022-10-20   600487   BUY       18.97    500     496,540.00    84.4%
2022-10-21   002792   SELL       8.62   3000     503,199.00    79.4%
2022-10-21   002281   BUY       15.99    800     503,199.00    82.0%
2022-10-21   002309   BUY        4.86   2700     503,199.00    84.6%
2022-10-21   002735   BUY       14.41    900     503,199.00    87.2%
2022-10-21   002428   BUY       10.15   1300     503,199.00    89.8%
2022-10-21   300502   BUY        8.02    100     503,199.00    89.9%
2022-10-24   002309   BUY        4.68    100     500,403.00    90.0%
2022-10-25   600702   SELL     121.07    100     489,016.00    87.3%
2022-10-25   000566   BUY        4.22   2400     489,016.00    89.3%
2022-10-25   002281   BUY       15.86    200     489,016.00    90.0%
2022-10-27   600522   SELL      20.98   1300     503,466.00    84.9%
2022-10-27   002735   SELL      14.38   9200     503,466.00    58.6%
2022-10-27   002309   BUY        4.62   3500     503,466.00    61.8%
2022-10-27   600702   BUY      118.34    100     503,466.00    64.1%
2022-10-27   002281   BUY       16.62    700     503,466.00    66.5%
2022-10-27   002792   BUY        9.23   1100     503,466.00    68.5%
2022-10-27   002428   BUY       10.56   1200     503,466.00    71.0%
2022-10-27   002918   BUY       12.58   1000     503,466.00    73.5%
2022-10-27   000566   BUY        4.45   2900     503,466.00    76.0%
2022-10-27   300570   BUY       16.64    700     503,466.00    78.4%
2022-10-27   300620   BUY       23.95    500     503,466.00    80.7%
2022-10-27   300502   BUY        9.18   1100     503,466.00    82.8%
2022-10-28   002918   BUY       11.80   1200     486,206.00    85.0%
2022-10-28   002156   BUY       17.48    700     486,206.00    87.6%
2022-10-28   000566   BUY        4.24   2700     486,206.00    89.9%
2022-10-31   300620   SELL      23.57    500     493,776.00    87.7%
2022-10-31   300570   BUY       15.93    700     493,776.00    90.0%
2022-11-01   002428   SELL      10.17   2500     508,184.00    85.2%
2022-11-01   002792   SELL       9.03   1100     508,184.00    83.3%
2022-11-01   300570   SELL      16.20   1400     508,184.00    78.8%
2022-11-01   002156   BUY       18.98    600     508,184.00    81.0%
2022-11-01   300620   BUY       23.64    500     508,184.00    83.4%
2022-11-01   600487   BUY       18.03    700     508,184.00    85.9%
2022-11-02   300570   BUY       16.61    700     503,254.00    88.0%
2022-11-02   002156   BUY       17.81    500     503,254.00    89.8%
2022-11-09   300570   SELL      16.16    700     516,553.00    87.9%
2022-11-09   000566   BUY        4.70   2300     516,553.00    90.0%
2022-11-10   002309   BUY        4.80    100     509,545.00    89.9%
2022-11-29   002918   SELL      16.92   1600     523,431.00    85.0%
2022-11-29   002792   BUY        8.57   1600     523,431.00    87.6%
2022-11-29   002918   BUY       16.92    700     523,431.00    89.9%
2022-12-01   000566   BUY        4.68    100     521,236.00    90.0%
2022-12-05   002918   SELL      18.26   1100     526,391.00    86.2%
2022-12-05   002309   SELL       4.78   9500     526,391.00    77.6%
2022-12-05   300293   BUY        9.44   5500     526,391.00    87.5%
2022-12-05   002792   BUY        8.94   1400     526,391.00    89.8%
2022-12-06   002918   SELL      18.30    600     525,055.00    87.7%
2022-12-06   300570   BUY       15.31    700     525,055.00    89.8%
2022-12-06   002309   BUY        4.76    200     525,055.00    90.0%
