code,date,score,deep20,vol_ratio,pct_250d_high,range_pct_250,r5,r10
002131,2018-01-10,0.16000000000000003,0.0,3.459476813250853,-0.3522727272727273,0.18848167539267008,-0.11784511784511786,-0.10774410774410781
002436,2018-01-10,0.9,-0.1112929623567922,0.39501669142803963,-0.2520661157024794,0.10294117647058822,-0.016574585635359074,-0.009208103130755041
002174,2018-01-11,0.08000000000000002,-0.010231316725978656,0.6352892500731406,-0.32143946325099115,0.14724919093851135,-0.0420600858369099,0.04420600858369084
002624,2018-01-11,0.9,-0.07675438596491224,0.8607597369943844,-0.14474352463179285,0.5034843205574913,-0.025190392501464487,0.014059753954305698
002792,2018-01-11,0.9,-0.11019567456230694,0.5619716669303391,-0.3419649657273419,0.22318339100346032,-0.04840613931523019,-0.05667060212514763
300502,2018-01-11,0.16000000000000003,-0.1853146853146852,0.7006357666623388,-0.3473389355742297,0.29745042492917856,-0.040723981900452455,-0.02714932126696834
600419,2018-01-11,0.08000000000000002,-0.05232862375719516,1.3646294227851408,-0.3098323170731707,0.2068292682926829,-0.03375760929717764,-0.03984504703929159
600498,2018-01-11,0.9,-0.06041174485318934,1.1368554170640424,-0.19723183391003463,0.5412474849094567,-0.05466472303206993,0.0
600522,2018-01-11,0.16000000000000003,-0.05718475073313789,0.8435566489973696,-0.1063238359972204,0.6921529175050299,-0.08498808578236694,-0.0826052422557585
600900,2018-01-11,0.16000000000000003,-0.010824313072439584,0.7679606846121603,-0.048839071257005595,0.8368983957219253,-0.010970464135021007,-0.013502109704641385
002309,2018-01-12,0.08000000000000002,0.027397260273972712,0.7123662802627635,-0.07105606258148633,0.6765578635014836,-0.010563380281690016,-0.03450704225352097
002436,2018-01-12,0.16000000000000003,-0.14308426073131963,0.3549509811038718,-0.25757575757575757,0.0833333333333333,0.030476190476190546,-0.003809523809523707
002475,2018-01-12,0.16000000000000003,-0.047441860465116226,0.3820196339735387,-0.15927750410509023,0.6978193146417446,0.024316109422492405,-0.03444782168186422
300502,2018-01-15,0.16000000000000003,-0.28474576271186447,1.4112553227725493,-0.40896358543417366,0.17280453257790365,0.039906103286385,-0.009389671361502372
002156,2018-01-16,0.16000000000000003,-0.10969196093163036,0.7881847809175337,-0.18891170431211501,0.5166374781085814,0.0008532423208191808,-0.12372013651877145
002300,2018-01-16,0.9,-0.10085470085470083,0.36732752561216114,-0.5667215815485998,0.017142857142857158,0.04166666666666652,-0.02083333333333337
002436,2018-01-16,0.16000000000000003,-0.15470494417862835,0.3304130026735055,-0.26997245179063356,0.03921568627450984,0.009363295880149725,-0.0337078651685393
300570,2018-01-16,0.08000000000000002,-0.05519125683060122,0.44152484705548634,-0.35677083333333337,0.1803418803418803,0.008566533409480215,-0.1085094231867505
600419,2018-01-16,0.9,-0.08923884514435687,0.9902332015650951,-0.338795731707317,0.13268292682926844,0.002849002849002913,-0.045014245014245
600800,2018-01-16,0.08000000000000002,-0.06547619047619035,0.6335544475834489,-0.48943089430894315,0.030595813204508916,-0.0031796502384738856,-0.060413354531001606
601188,2018-01-16,0.08000000000000002,-0.04105571847507339,0.49162952538121196,-0.36381322957198436,0.031088082901554435,0.005952380952380931,-0.02678571428571419
601611,2018-01-16,0.08000000000000002,-0.014227642276422814,0.5086343913571212,-0.43963027151935297,0.10259433962264143,0.013065326633165952,-0.0030150753768843908
601800,2018-01-16,0.08000000000000002,-0.017941454202077378,1.0272507251744951,-0.30574098798397864,0.06147540983606571,0.05493482309124764,0.043761638733705865
603606,2018-01-16,0.08000000000000002,-0.015655577299412915,0.5596069991869083,-0.3248322147651006,0.10370370370370378,-0.0019723865877713243,-0.03944773175542404
000657,2018-01-17,0.07091313299214619,-0.009419152276295195,1.040227101899998,-0.26112412177985944,0.16479400749063658,0.06319115323854674,-0.011058451816745696
002174,2018-01-17,0.9,-0.050998725031874304,1.5770274594067362,-0.3189996950289723,0.15372168284789633,0.06994245241257202,0.03452855245683928
002309,2018-01-17,0.9,0.02145922746781115,0.7049725150741388,-0.06910039113428945,0.6854599406528188,-0.019594121763470862,-0.027291812456262998
002432,2018-01-17,0.08000000000000002,-0.028301886792452824,0.8028818615184691,-0.4325068870523415,0.03235747303543927,0.01098901098901095,-0.1709401709401709
002475,2018-01-17,0.16000000000000003,-0.10287303058387387,1.3963143533792706,-0.20525451559934316,0.6105919003115264,0.005015045135406071,-0.04112337011033096
