code,date,score,deep20,vol_ratio,body,shadow,ma20_dev,r5,r10
000766,2017-03-09,0.08000000000000002,-0.030188679245283123,0.5400814594133161,0.0016703786191535402,0.8421052631579086,-0.007119598211821954,-0.020994475138121693,0.012707182320441879
000848,2017-03-09,0.05578800557879049,-0.023480662983425438,0.4698875085907446,0.008415147265077085,0.25000000000000555,-0.0185326577358228,0.0028248587570620654,0.024011299435028333
600522,2017-03-09,0.08000000000000002,-0.032945736434108475,1.2800905106988825,0.004024144869215385,0.8260869565217355,-0.007261513975927447,0.0239520958083832,0.0858283433133733
600900,2017-03-09,0.04571428571428271,-0.004415011037527727,1.1823463953413942,0.003337041156840863,0.6666666666666733,-0.007154650522840034,0.02011173184357551,0.04022346368715102
601188,2017-03-09,0.08000000000000002,0.0,0.405689095585164,0.006564551422319529,0.5,-0.00970662013305712,0.021978021978022122,0.07472527472527468
601766,2017-03-09,0.08000000000000002,0.010443864229765065,0.6413487829782761,0.0025773195876288113,0.8000000000000036,-0.017828817968403077,0.007832898172323688,0.04960835509138373
300059,2017-03-10,0.08000000000000002,-0.004576659038901698,0.5252628764476318,0.002304147465437739,0.7500000000000056,-0.03161175422974161,-0.013793103448275779,-0.025287356321838983
600176,2017-03-10,0.08000000000000002,-0.025540275049115935,0.5430742561450569,0.0020202020202019773,0.8750000000000028,-0.045603232634212065,0.0,0.058232931726907466
600988,2017-03-10,0.08000000000000002,-0.043421052631578916,0.6441922902680649,0.009722222222222137,0.41666666666667224,-0.03144151345590207,-0.0026990553306343035,0.009446693657219951
601600,2017-03-10,0.08000000000000002,-0.036717062634989195,0.5063568165546103,0.013636363636363547,0.25000000000000555,-0.04209621993127155,-0.013303769401330268,-0.02882483370288247
601899,2017-03-10,0.08000000000000002,-0.04166666666666674,0.45073907721682177,0.007299270072992544,0.3333333333333432,-0.04216553878188445,0.010676156583629748,0.003558718861209842
603993,2017-03-10,0.08000000000000002,0.1723163841807911,0.5460285737048216,0.00484261501210665,0.7777777777777724,-0.013431593961725885,-0.04534606205250602,-0.0715990453460621
000657,2017-03-13,0.08000000000000002,0.08299866131191425,0.6816699162113312,0.012515644555694573,0.5454545454545465,0.025608519269776808,-0.02267002518891692,-0.05037783375314864
