date,close,pe_ttm,pb,total_mv,float_mv,total_share,float_share,is_st
2020-01-15,21.9,29.956594,7.56295,8297483759.178,829935064.635,400010000,40010000,False
2020-01-16,24.09,32.952254,8.319245,9127232135.096,912928571.099,400010000,40010000,False
2020-01-17,23.78,32.528211,8.212189,9009779168.642,901180631.828,400010000,40010000,False
2020-01-20,21.44,29.327369,7.404093,8123198712.182,812502638.62,400010000,40010000,False
2020-01-21,20.1,27.494409,6.941337,7615498792.671,761721223.706,400010000,40010000,False
2020-01-22,20.0,27.35762,6.906803,7577610738.976,757931565.877,400010000,40010000,False
2020-01-23,18.95,25.921345,6.544196,7179786175.18,718140158.668,400010000,40010000,False
2020-02-03,17.06,23.33605,5.891503,6463701960.346,646515625.693,400010000,40010000,False
2020-02-04,16.19,22.145994,5.591057,6134075893.201,613545602.577,400010000,40010000,False
2020-02-05,16.43,22.474285,5.673939,6225007222.069,622640781.368,400010000,40010000,False
2020-02-06,16.66,22.788898,5.753367,6312149745.567,631356994.375,400010000,40010000,False
2020-02-07,17.25,23.595948,5.957118,6535689262.367,653715975.569,400010000,40010000,False
2020-02-10,17.41,23.814809,6.012372,6596310148.278,659779428.096,400010000,40010000,False
2020-02-11,17.11,23.404444,5.90877,6482645987.194,648410454.608,400010000,40010000,False
2020-02-12,17.09,23.377087,5.901863,6475068376.455,647652523.042,400010000,40010000,False
2020-02-13,16.68,22.816255,5.760274,6319727356.306,632114925.941,400010000,40010000,False
2020-02-14,17.95,24.553464,6.198856,6800905638.231,680243580.375,400010000,40010000,False
2020-02-17,18.86,25.798236,6.513115,7145686926.854,714729466.622,400010000,40010000,False
2020-02-18,18.66,25.52466,6.444047,7069910819.464,707150150.963,400010000,40010000,False
2020-02-19,18.16,25.52466,6.444047,6880470550.99,688201861.816,400010000,40010000,False
2020-02-20,18.26,24.977507,6.305911,6918358604.685,691991519.646,400010000,40010000,False
2020-02-21,18.1,24.758647,6.250657,6857737718.773,685928067.119,400010000,40010000,False
2020-02-24,17.75,24.279888,6.129788,6725129530.841,672664264.716,400010000,40010000,False
2020-02-25,17.24,23.582269,5.953664,6531900456.997,653337009.786,400010000,40010000,False
2020-02-26,17.16,23.472838,5.926037,6501590014.041,650305283.522,400010000,40010000,False
2020-02-27,17.36,23.746415,5.995105,6577366121.431,657884599.181,400010000,40010000,False
2020-02-28,16.55,22.638431,5.71538,6270472886.502,627188370.763,400010000,40010000,False
2020-03-02,17.24,23.582269,5.953664,6531900456.997,653337009.786,400010000,40010000,False
2020-03-03,17.24,23.582269,5.953664,6531900456.997,653337009.786,400010000,40010000,False
2020-03-04,18.25,24.963829,6.302458,6914569799.315,691612553.863,400010000,40010000,False
2020-03-05,18.05,24.690252,6.23339,6838793691.926,684033238.204,400010000,40010000,False
2020-03-06,17.7,24.211494,6.112521,6706185503.994,670769435.801,400010000,40010000,False
2020-03-09,16.96,23.199262,5.856969,6425813906.651,642725967.864,400010000,40010000,False
2020-03-10,17.24,23.582269,5.953664,6531900456.997,653337009.786,400010000,40010000,False
2020-03-11,17.06,23.33605,5.891503,6463701960.346,646515625.693,400010000,40010000,False
2020-03-12,16.9,23.117189,5.836249,6403081074.435,640452173.166,400010000,40010000,False
2020-03-13,16.42,22.460606,5.670485,6221218416.699,622261815.585,400010000,40010000,False
2020-03-16,16.02,21.913454,5.532349,6069666201.92,607103184.267,400010000,40010000,False
2020-03-17,15.91,21.762987,5.494362,6027989342.855,602934560.655,400010000,40010000,False
2020-03-18,15.73,21.516768,5.432201,5959790846.204,596113176.562,400010000,40010000,False
2020-03-19,16.14,22.0776,5.57379,6115131866.353,611650773.663,400010000,40010000,False
2020-03-20,16.34,22.351176,5.642858,6190907973.743,619230089.321,400010000,40010000,False
2020-03-23,15.74,21.530447,5.435654,5963579651.574,596492142.345,400010000,40010000,False
2020-03-24,16.11,22.036563,5.56343,6103765450.245,610513876.314,400010000,40010000,False
2020-03-25,16.44,22.487964,5.677392,6228796027.438,623019747.151,400010000,40010000,False
2020-03-26,18.08,24.731289,6.24375,6850160108.034,685170135.553,400010000,40010000,False
2020-03-27,19.89,27.207154,6.868816,7535933879.911,753762942.265,400010000,40010000,False
2020-03-30,19.34,26.454819,6.678879,7327549584.59,732919824.203,400010000,40010000,False
2020-03-31,17.71,24.225173,6.115974,6709974309.363,671148401.584,400010000,40010000,False
2020-04-01,16.6,22.706825,5.732647,6289416913.35,629083199.678,400010000,40010000,False
2020-04-02,16.79,22.966722,5.798261,6361404215.37,636283549.554,400010000,40010000,False
2020-04-03,16.76,22.925686,5.787901,6350037799.262,635146652.205,400010000,40010000,False
2020-04-07,16.96,23.199262,5.856969,6425813906.651,642725967.864,400010000,40010000,False
2020-04-08,18.22,24.922792,6.292098,6903203383.207,690475656.514,400010000,40010000,False
2020-04-09,17.65,24.1431,6.095254,6687241477.146,668874606.886,400010000,40010000,False
2020-04-10,16.96,23.199262,5.856969,6425813906.651,642725967.864,400010000,40010000,False
2020-04-13,17.01,23.267656,5.874236,6444757933.499,644620796.778,400010000,40010000,False
2020-04-14,17.55,24.006312,6.06072,6649353423.451,665084949.057,400010000,40010000,False
2020-04-15,17.24,23.582269,5.953664,6531900456.997,653337009.786,400010000,40010000,False
2020-04-16,16.89,23.10351,5.832795,6399292269.065,640073207.383,400010000,40010000,False
2020-04-17,17.12,23.418123,5.912224,6486434792.563,648789420.391,400010000,40010000,False
2020-04-20,16.97,23.212941,5.860423,6429602712.021,643104933.647,400010000,40010000,False
2020-04-21,16.58,22.679467,5.72574,6281839302.611,628325268.112,400010000,40010000,False
2020-04-22,16.67,22.802577,5.756821,6315938550.936,631735960.158,400010000,40010000,False
2020-04-23,16.73,22.88465,5.777541,6338671383.153,634009754.856,400010000,40010000,False
2020-04-24,16.08,21.995527,5.55307,6092399034.137,609376978.965,400010000,40010000,False
2020-04-27,16.01,21.899775,5.528896,6065877396.55,606724218.484,400010000,40010000,False
2020-04-28,15.47,23.121927,5.207745,5861281906.598,586260066.206,400010000,40010000,False
2020-04-29,15.22,37.09807,3.604433,5766561772.361,576785921.632,400010000,40010000,False
2020-04-30,15.41,37.561187,3.649429,5838549074.381,583986271.508,400010000,40010000,False
2020-05-06,15.64,38.121802,3.703898,5925691597.879,592702484.516,400010000,40010000,False
2020-05-07,15.85,38.633667,3.75363,6005256510.638,600660765.957,400010000,40010000,False
2020-05-08,15.95,38.877413,3.777313,6043144564.333,604450423.787,400010000,40010000,False
2020-05-11,15.92,38.804289,3.770208,6031778148.225,603313526.438,400010000,40010000,False
2020-05-12,16.35,39.852395,3.872042,6194696779.113,619609055.104,400010000,40010000,False
2020-05-13,16.1,39.243031,3.812836,6099976644.875,610134910.531,400010000,40010000,False
2020-05-14,15.75,38.389922,3.729948,5967368456.943,596871108.128,400010000,40010000,False
2020-05-15,15.81,38.536169,3.744158,5990101289.16,599144902.826,400010000,40010000,False
2020-05-18,15.56,37.926805,3.684952,5895381154.923,589670758.252,400010000,40010000,False
