date,close,pe_ttm,pb,total_mv,float_mv,total_share,float_share,is_st
2023-08-23,52.29,90.087668,14.867242,6044307397.989,1433154759.235,115718000,27437685,False
2023-08-24,63.8,109.917636,18.139798,7374771696.15,1748618734.733,115718000,27437685,False
2023-08-25,53.92,92.895908,15.330689,6232722411.543,1477829501.204,115718000,27437685,False
2023-08-28,59.3,102.164825,16.860346,6854607548.303,1625283557.519,115718000,27437685,False
2023-08-29,67.45,116.206028,19.177577,7796682616.071,1848657267.363,115718000,27437685,False
2023-08-30,72.0,124.044981,20.471246,8322626365.562,1973362835.436,115718000,27437685,False
2023-08-31,82.2,141.61802,23.371339,9501665100.683,2252922570.456,115718000,27437685,False
2023-09-01,74.0,127.490675,21.039892,8553810431.272,2028178469.754,115718000,27437685,False
2023-09-04,72.7,125.250974,20.670272,8403540788.56,1992548307.447,115718000,27437685,False
2023-09-05,80.27,138.292926,22.822596,9278572477.273,2200025483.339,115718000,27437685,False
2023-09-06,92.2,158.84649,26.214568,10657585429.233,2527000742.044,115718000,27437685,False
2023-09-07,78.2,134.726632,22.234048,9039296969.263,2143291301.821,115718000,27437685,False
2023-09-08,80.74,139.102664,22.956228,9332900732.714,2212907157.404,115718000,27437685,False
2023-09-11,75.8,130.5918,21.551673,8761876090.411,2077512540.639,115718000,27437685,False
2023-09-12,81.81,140.94611,23.260453,9456584207.869,2242233521.764,115718000,27437685,False
2023-09-13,83.65,144.116148,23.783607,9669273548.323,2292663905.336,115718000,27437685,False
2023-09-14,80.69,139.016521,22.942011,9327121131.072,2211536766.546,115718000,27437685,False
2023-09-15,76.88,132.452474,21.858741,8886715485.894,2107112983.171,115718000,27437685,False
2023-09-18,76.7,132.142362,21.807563,8865908919.98,2102179576.082,115718000,27437685,False
2023-09-19,68.8,118.531871,19.561413,7952731860.426,1885657820.528,115718000,27437685,False
2023-09-20,66.17,114.000783,18.813644,7648724814.017,1813575261.4,115718000,27437685,False
2023-09-21,64.9,111.812768,18.452554,7501922932.291,1778767333.608,115718000,27437685,False
2023-09-22,64.38,110.916887,18.304706,7441815075.206,1764515268.686,115718000,27437685,False
2023-09-25,66.91,115.27569,19.024042,7734262918.33,1833857046.097,115718000,27437685,False
2023-09-26,62.97,108.487673,17.90381,7278830308.881,1725870246.492,115718000,27437685,False
2023-09-27,61.12,105.300406,17.377813,7064985048.099,1675165784.748,115718000,27437685,False
2023-09-28,62.58,107.815763,17.792925,7233749416.067,1715181197.8,115718000,27437685,False
2023-10-09,62.1,106.988796,17.65645,7178265240.297,1702025445.563,115718000,27437685,False
2023-10-10,63.99,110.244977,18.19382,7396734182.393,1753826219.994,115718000,27437685,False
2023-10-11,66.1,113.880184,18.793741,7640633371.717,1811656714.199,115718000,27437685,False
2023-10-12,61.9,106.644227,17.599585,7155146833.726,1696543882.132,115718000,27437685,False
2023-10-13,65.85,113.449472,18.72266,7611735363.503,1804804759.909,115718000,27437685,False
2023-10-16,61.75,106.3858,17.556937,7137808028.798,1692432709.558,115718000,27437685,False
2023-10-17,58.38,100.579806,16.598769,6748262878.076,1600068365.733,115718000,27437685,False
2023-10-18,58.64,101.027746,16.672692,6778316806.619,1607194398.194,115718000,27437685,False
2023-10-19,61.3,105.610519,17.428991,7085791614.013,1680099191.836,115718000,27437685,False
2023-10-20,58.68,101.09666,16.684065,6782940487.933,1608290710.88,115718000,27437685,False
2023-10-23,56.29,96.979056,16.004534,6506675529.409,1542786027.871,115718000,27437685,False
2023-10-24,58.85,101.389544,16.7324,6802591133.518,1612950039.797,115718000,27437685,False
2023-10-25,57.84,117.562901,5.704899,6685843180.334,1585268144.467,115718000,27437685,False
2023-10-26,56.47,114.778303,5.569773,6527482095.323,1547719434.959,115718000,27437685,False
2023-10-27,63.7,129.473665,6.282885,7363212492.865,1745877953.018,115718000,27437685,False
2023-10-30,64.17,130.428966,6.329242,7417540748.307,1758759627.082,115718000,27437685,False
2023-10-31,71.81,145.957675,7.082794,8300663879.319,1968155350.176,115718000,27437685,False
2023-11-01,68.33,138.884389,6.739553,7898403604.984,1872776146.463,115718000,27437685,False
2023-11-02,69.2,140.65271,6.825363,7998968673.568,1896620947.391,115718000,27437685,False
2023-11-03,71.1,144.514562,7.012765,8218593535.992,1948695799.993,115718000,27437685,False
2023-11-06,71.98,146.303209,7.099561,8320314524.905,1972814679.093,115718000,27437685,False
2023-11-07,76.4,155.287096,7.535517,8831231310.124,2093957230.935,115718000,27437685,False
2023-11-08,78.28,159.108297,7.720946,9048544331.891,2145483927.193,115718000,27437685,False
2023-11-09,73.46,149.311389,7.245537,8491390733.53,2013378248.488,115718000,27437685,False
2023-11-10,71.19,144.697492,7.021642,8228996818.949,1951162503.537,115718000,27437685,False
2023-11-13,73.46,149.311389,7.245537,8491390733.53,2013378248.488,115718000,27437685,False
2023-11-14,72.89,148.152833,7.189317,8425503274.803,1997755792.707,115718000,27437685,False
2023-11-15,69.03,140.307176,6.808596,7979318027.982,1891961618.474,115718000,27437685,False
2023-11-16,70.84,143.986098,6.98712,8188539607.45,1941569767.532,115718000,27437685,False
2023-11-17,71.18,144.677166,7.020655,8227840898.62,1950888425.366,115718000,27437685,False
2023-11-20,71.59,145.510513,7.061095,8275233632.091,1962125630.401,115718000,27437685,False
2023-11-21,67.0,136.181092,6.608372,7744666201.286,1836323749.642,115718000,27437685,False
