date,close,pe_ttm,pb,total_mv,float_mv,total_share,float_share,is_st
2020-01-02,11.38,20.761455,3.760066,6146516506.728,6003112539.618,654104521,638843652,False
2020-01-03,11.4,20.797943,3.766674,6157318820.448,6013662825.277,654104521,638843652,False
2020-01-06,11.25,20.524285,3.717113,6076301467.547,5934535682.839,654104521,638843652,False
2020-01-07,11.44,20.870918,3.779891,6178923447.888,6034763396.593,654104521,638843652,False
2020-01-08,11.37,20.743211,3.756762,6141115349.868,5997837396.789,654104521,638843652,False
2020-01-09,11.45,20.889162,3.783195,6184324604.748,6040038539.423,654104521,638843652,False
2020-01-10,11.45,20.889162,3.783195,6184324604.748,6040038539.423,654104521,638843652,False
2020-01-13,11.73,21.399988,3.87571,6335556996.829,6187742538.64,654104521,638843652,False
2020-01-14,11.63,21.21755,3.842669,6281545428.229,6134991110.348,654104521,638843652,False
2020-01-15,12.06,22.002034,3.984745,6513795173.21,6361822252.003,654104521,638843652,False
2020-01-16,11.96,21.819596,3.951704,6459783604.61,6309070823.711,654104521,638843652,False
2020-01-17,12.01,21.910815,3.968225,6486789388.91,6335446537.857,654104521,638843652,False
2020-01-20,12.15,22.166228,4.014482,6562405584.951,6409298537.466,654104521,638843652,False
2020-01-21,12.38,22.585836,4.090476,6686632192.732,6530626822.537,654104521,638843652,False
2020-01-22,12.3,22.439885,4.064043,6643422937.851,6488425679.904,654104521,638843652,False
2020-01-23,11.94,21.783108,3.945096,6448981290.89,6298520538.053,654104521,638843652,False
2020-02-03,10.75,19.612095,3.551908,5806243624.545,5670778541.379,654104521,638843652,False
2020-02-04,10.69,19.502632,3.532083,5773836683.385,5639127684.404,654104521,638843652,False
2020-02-05,10.75,19.612095,3.551908,5806243624.545,5670778541.379,654104521,638843652,False
2020-02-06,10.85,19.794533,3.584949,5860255193.145,5723529969.671,654104521,638843652,False
2020-02-07,10.85,19.794533,3.584949,5860255193.145,5723529969.671,654104521,638843652,False
2020-02-10,11.15,20.341847,3.684072,6022289898.947,5881784254.547,654104521,638843652,False
2020-02-11,11.19,20.414823,3.697288,6043894526.387,5902884825.864,654104521,638843652,False
2020-02-12,11.37,20.743211,3.756762,6141115349.868,5997837396.789,654104521,638843652,False
2020-02-13,11.25,20.524285,3.717113,6076301467.547,5934535682.839,654104521,638843652,False
2020-02-14,11.26,20.542529,3.720417,6081702624.407,5939810825.668,654104521,638843652,False
2020-02-17,11.6,21.162819,3.832756,6265341957.648,6119165681.86,654104521,638843652,False
2020-02-18,11.9,21.710133,3.931879,6427376663.45,6277419966.736,654104521,638843652,False
2020-02-19,11.76,21.710133,3.931879,6351760467.409,6203567967.128,654104521,638843652,False
2020-02-20,11.86,21.637158,3.918663,6405772036.01,6256319395.419,654104521,638843652,False
2020-02-21,11.87,21.655402,3.921967,6411173192.87,6261594538.249,654104521,638843652,False
2020-02-24,12.17,22.202716,4.02109,6573207898.671,6419848823.124,654104521,638843652,False
2020-02-25,11.84,21.60067,3.912055,6394969722.289,6245769109.761,654104521,638843652,False
2020-02-26,11.66,21.272282,3.852581,6297748898.809,6150816538.836,654104521,638843652,False
2020-02-27,12.36,22.549348,4.083868,6675829879.012,6520076536.879,654104521,638843652,False
2020-02-28,11.13,20.30536,3.677464,6011487585.227,5871233968.889,654104521,638843652,False
2020-03-02,11.48,20.943893,3.793107,6200528075.328,6055863967.91,654104521,638843652,False
2020-03-03,12.01,21.910815,3.968225,6486789388.91,6335446537.857,654104521,638843652,False
2020-03-04,12.23,22.312179,4.040915,6605614839.831,6451499680.099,654104521,638843652,False
2020-03-05,13.45,24.537924,4.444015,7264555976.756,7095067105.261,654104521,638843652,False
2020-03-06,13.59,24.793337,4.490272,7340172172.797,7168919104.869,654104521,638843652,False
2020-03-09,12.83,23.406807,4.239161,6929684251.434,6768008249.851,654104521,638843652,False
2020-03-10,13.78,25.139969,4.55305,7442794153.138,7269146818.624,654104521,638843652,False
2020-03-11,13.18,24.045341,4.354804,7118724741.535,6952638248.873,654104521,638843652,False
2020-03-12,13.48,24.592655,4.453927,7280759447.336,7110892533.748,654104521,638843652,False
2020-03-13,13.99,25.523089,4.622436,7556218447.198,7379924818.037,654104521,638843652,False
2020-03-16,12.85,23.443295,4.245769,6940486565.154,6778558535.509,654104521,638843652,False
2020-03-17,13.11,23.917634,4.331676,7080916643.515,6915712249.068,654104521,638843652,False
2020-03-18,12.57,22.932468,4.153254,6789254173.073,6630854536.292,654104521,638843652,False
2020-03-19,12.25,22.348666,4.047523,6616417153.551,6462049965.758,654104521,638843652,False
2020-03-20,12.4,22.622324,4.097084,6697434506.452,6541177108.196,654104521,638843652,False
2020-03-23,11.82,21.564183,3.905447,6384167408.569,6235218824.103,654104521,638843652,False
2020-03-24,12.37,22.567592,4.087172,6681231035.872,6525351679.708,654104521,638843652,False
2020-03-25,12.37,22.567592,4.087172,6681231035.872,6525351679.708,654104521,638843652,False
2020-03-26,12.08,22.038522,3.991353,6524597486.93,6372372537.662,654104521,638843652,False
2020-03-27,11.83,21.582426,3.908751,6389568565.429,6240493966.932,654104521,638843652,False
2020-03-30,12.02,21.929059,3.971529,6492190545.77,6340721680.686,654104521,638843652,False
2020-03-31,12.2,22.257447,4.031002,6589411369.251,6435674251.612,654104521,638843652,False
2020-04-01,12.31,22.458129,4.067348,6648824094.711,6493700822.733,654104521,638843652,False
