date,close,pe_ttm,pb,total_mv,float_mv,total_share,float_share,is_st
2020-01-02,40.31,61.383049,5.847156,3638678891.93,918343793.401,90337000,22799600,False
2020-01-03,40.18,61.185088,5.828299,3626944129.936,915382128.971,90337000,22799600,False
2020-01-06,40.75,62.05307,5.91098,3678396547.907,928367888.392,90337000,22799600,False
2020-01-07,41.03,62.479447,5.951596,3703671419.893,934746857.932,90337000,22799600,False
2020-01-08,40.1,61.063266,5.816695,3619722737.94,913559566.246,90337000,22799600,False
2020-01-09,42.0,63.956538,6.092299,3791230797.843,956845430.981,90337000,22799600,False
2020-01-10,42.29,64.398143,6.134364,3817408343.828,963452220.861,90337000,22799600,False
2020-01-13,42.62,64.900659,6.182233,3847196585.811,970970292.105,90337000,22799600,False
2020-01-14,41.96,63.895627,6.086496,3787620101.845,955934149.618,90337000,22799600,False
2020-01-15,41.56,63.286517,6.028475,3751513141.865,946821335.989,90337000,22799600,False
2020-01-16,42.9,65.327036,6.222848,3872471457.797,977349261.644,90337000,22799600,False
2020-01-17,42.16,64.200182,6.115507,3805673581.835,960490556.432,90337000,22799600,False
2020-01-20,43.12,65.662046,6.25476,3892330285.785,982361309.14,90337000,22799600,False
2020-01-21,42.27,64.367688,6.131463,3815602995.829,962996580.18,90337000,22799600,False
2020-01-22,42.77,65.129075,6.203991,3860736695.803,974387597.215,90337000,22799600,False
2020-01-23,39.98,60.880533,5.799288,3608890649.946,910825722.157,90337000,22799600,False
2020-02-03,35.98,54.789435,5.219069,3247821050.152,819697585.873,90337000,22799600,False
2020-02-04,34.67,52.7946,5.029047,3129570756.219,789853121.24,90337000,22799600,False
2020-02-05,36.44,55.489911,5.285794,3289344054.128,830177321.546,90337000,22799600,False
2020-02-06,37.0,56.342665,5.367025,3339893798.1,842935260.626,90337000,22799600,False
2020-02-07,37.46,57.043141,5.43375,3381416802.076,853414996.298,90337000,22799600,False
2020-02-10,37.5,57.104052,5.439552,3385027498.074,854326277.661,90337000,22799600,False
2020-02-11,37.42,56.98223,5.427948,3377806106.078,852503714.936,90337000,22799600,False
2020-02-12,37.75,57.484746,5.475816,3407594348.061,860021786.179,90337000,22799600,False
2020-02-13,37.38,56.921319,5.422146,3374195410.08,851592433.573,90337000,22799600,False
2020-02-14,37.6,57.25633,5.454058,3394054238.069,856604481.068,90337000,22799600,False
2020-02-17,39.22,59.723225,5.689046,3540287425.986,893511376.263,90337000,22799600,False
2020-02-18,40.42,61.550554,5.863112,3648608305.924,920849817.148,90337000,22799600,False
2020-02-19,41.08,61.550554,5.863112,3708184789.89,935885959.635,90337000,22799600,False
2020-02-20,41.75,63.575845,6.056035,3768663947.856,951149922.463,90337000,22799600,False
2020-02-21,43.51,66.255928,6.311331,3927534571.765,991246302.428,90337000,22799600,False
2020-02-24,45.53,69.331933,6.604342,4109874719.661,1037266011.251,90337000,22799600,False
2020-02-25,46.04,70.108548,6.67832,4155911093.635,1048884848.627,90337000,22799600,False
2020-02-26,44.6,67.915753,6.469441,4025926037.709,1016078719.565,90337000,22799600,False
2020-02-27,44.6,67.915753,6.469441,4025926037.709,1016078719.565,90337000,22799600,False
2020-02-28,40.14,63.080413,5.71262,3623333433.938,914470847.609,90337000,22799600,False
2020-03-02,40.35,63.41043,5.742506,3642289587.927,919255074.764,90337000,22799600,False
2020-03-03,39.78,62.514669,5.661385,3590837169.957,906269315.343,90337000,22799600,False
2020-03-04,40.59,63.787592,5.776662,3663953763.915,924722762.941,90337000,22799600,False
2020-03-05,40.93,64.321906,5.82505,3694644679.898,932468654.525,90337000,22799600,False
2020-03-06,40.4,63.489005,5.749622,3646802957.925,920394176.467,90337000,22799600,False
2020-03-09,38.7,60.817438,5.507683,3493348378.012,881664718.546,90337000,22799600,False
2020-03-10,40.69,63.944743,5.790894,3672980503.91,927000966.348,90337000,22799600,False
2020-03-11,40.21,63.190418,5.722582,3629652151.935,916065589.994,90337000,22799600,False
2020-03-12,39.9,62.70325,5.678463,3601669257.951,1673517691.915,90337000,41975139,False
2020-03-13,38.91,61.147455,5.537569,3512304532.001,1631994320.612,90337000,41975139,False
2020-03-16,35.31,55.490019,5.025227,3187341892.186,1481000243.146,90337000,41975139,False
2020-03-17,35.38,55.600025,5.035189,3193660610.183,1483936239.096,90337000,41975139,False
2020-03-18,34.75,54.609974,4.945529,3136792148.215,1457512275.54,90337000,41975139,False
2020-03-19,36.42,57.234395,5.183199,3287538706.129,1527556750.364,90337000,41975139,False
2020-03-20,40.06,62.954692,5.701234,3616112041.942,1680228539.802,90337000,41975139,False
2020-03-23,38.17,59.984538,5.432254,3445506656.039,1600956649.132,90337000,41975139,False
2020-03-24,41.27,64.856219,5.873438,3725335595.88,1730979326.95,90337000,41975139,False
2020-03-25,40.55,63.724732,5.77097,3660343067.917,3598049528.918,90337000,88799600,False
2020-03-26,38.37,60.29884,5.460718,3463560136.029,3404615546.845,90337000,88799600,False
2020-03-27,36.6,57.517267,5.208816,3303786838.12,3247561350.392,90337000,88799600,False
2020-03-30,34.31,53.918509,4.882909,3097074492.238,3049938017.489,90337000,88962100,False
2020-03-31,34.44,54.122806,4.90141,3108809254.231,3061494180.19,90337000,88962100,False
2020-04-01,34.46,54.154236,4.904257,3110614602.23,3063272051.375,90337000,88962100,False
2020-04-02,35.4,55.631455,5.038035,3195465958.182,3146831997.059,90337000,88962100,False
2020-04-03,34.7,54.531398,4.938413,3132278778.218,3084606505.592,90337000,88962100,False
2020-04-07,35.51,55.804321,5.05369,3205395372.176,3156610288.576,90337000,88962100,False
2020-04-08,35.66,56.040048,5.075038,3218935482.168,3169944322.462,90337000,88962100,False
2020-04-09,36.36,57.140105,5.17466,3282122662.132,3232169813.929,90337000,88962100,False
2020-04-10,35.4,55.631455,5.038035,3195465958.182,3146831997.059,90337000,88962100,False
2020-04-13,34.08,53.557062,4.850176,3076312990.25,3029492498.864,90337000,88962100,False
2020-04-14,34.81,54.704264,4.954068,3142208192.212,3094384797.108,90337000,88962100,False
2020-04-15,35.3,53.141701,5.01157,3186439218.187,3137942641.136,90337000,88962100,False
2020-04-16,35.3,53.141701,5.01157,3186439218.187,3137942641.136,90337000,88962100,False
2020-04-17,35.22,53.021266,5.000212,3179217826.191,3130831156.396,90337000,88962100,False
2020-04-20,35.52,53.472896,5.042803,3206298046.176,3157499224.168,90337000,88962100,False
2020-04-21,34.97,52.644909,4.964719,3156650976.204,3108607766.587,90337000,88962100,False
2020-04-22,35.22,53.021266,5.000212,3179217826.191,3130831156.396,90337000,88962100,False
2020-04-23,34.7,52.238443,4.926387,3132278778.218,3084606505.592,90337000,88962100,False
2020-04-24,33.9,51.034098,4.81281,3060064858.259,3013491658.201,90337000,88962100,False
2020-04-27,33.87,50.988935,4.808551,3057356836.26,3010824851.424,90337000,88962100,False
2020-04-28,33.49,50.416872,4.754602,3023055224.28,2977045298.913,90337000,88962100,False
2020-04-29,33.49,50.416872,4.754602,3023055224.28,2977045298.913,90337000,88962100,False
2020-04-30,34.85,52.464257,4.947683,3145818888.21,3097940539.478,90337000,88962100,False
2020-05-06,35.47,53.397624,5.035705,3201784676.178,3153054546.206,90337000,88962100,False
2020-05-07,35.36,53.232027,5.020088,3191855262.184,3143276254.69,90337000,88962100,False
2020-05-08,36.3,54.647132,5.15354,3276706618.136,3226836200.375,90337000,88962100,False
2020-05-11,38.15,57.432178,5.416186,3443701308.04,3391289284.967,90337000,88962100,False
2020-05-12,38.17,57.462287,5.419026,3445506656.039,3393067156.151,90337000,88962100,False
2020-05-13,38.87,58.516088,5.518405,3508693836.004,3455292647.619,90337000,88962100,False
2020-05-14,39.37,59.268804,5.589391,3553827535.978,3499739427.238,90337000,88962100,False
2020-05-15,41.49,62.460316,5.890369,3745194423.869,3688193772.825,90337000,88962100,False
2020-05-18,40.1,60.367768,5.693029,3619722737.94,3564631725.483,90337000,88962100,False
2020-05-19,40.98,61.692547,5.817964,3699158049.895,3642858057.613,90337000,88962100,False
2020-05-20,38.88,58.531143,5.519825,3509596510.003,3456181583.211,90337000,88962100,False
2020-05-21,42.77,64.387268,6.072092,3860736695.803,3801977528.651,90337000,88962100,False
2020-05-22,42.99,64.718462,6.103325,3880595523.792,3821534111.683,90337000,88962100,False
2020-05-25,42.4,63.830258,6.019562,3827337757.822,3769086911.732,90337000,88962100,False
2020-05-26,42.15,63.453901,5.98407,3804770907.835,3746863521.922,90337000,88962100,False
2020-05-27,40.48,60.939832,5.746978,3654024349.921,3598411277.993,90337000,88962100,False
2020-05-28,39.46,59.404292,5.602168,3561951601.973,3507739847.57,90337000,88962100,False
2020-05-29,38.95,58.636523,5.529763,3515915227.999,3462404132.358,90337000,88962100,False
2020-06-01,40.54,61.030157,5.755497,3659440393.918,3603744891.548,90337000,88962100,False
2020-06-02,40.36,60.75918,5.729942,3643192261.927,3587744050.885,90337000,88962100,False
2020-06-03,40.49,60.954886,5.748398,3654927023.92,3599300213.586,90337000,88962100,False
2020-06-04,39.82,59.946247,5.653278,3594447865.955,3539741528.896,90337000,88962100,False
2020-06-05,40.11,60.382822,5.694449,3620625411.94,3565520661.075,90337000,88962100,False
2020-06-08,41.51,62.490425,5.893208,3746999771.868,3689971644.01,90337000,88962100,False
2020-06-09,40.6,61.120483,5.764015,3664856437.915,3609078505.102,90337000,88962100,False
2020-06-10,40.97,62.435344,5.888014,3743697038.418,3641969122.021,91447000,88962100,False
2020-06-11,41.1,62.633455,5.906697,3755575989.235,3653525284.722,91447000,88962100,False
2020-06-12,41.35,63.014437,5.942626,3778420125.423,3675748674.531,91447000,88962100,False
2020-06-15,40.9,62.328669,5.877954,3737300680.285,3635746572.874,91447000,88962100,False
2020-06-16,42.4,64.614561,6.093527,3874365497.41,3769086911.732,91447000,88962100,False
2020-06-17,42.45,64.690758,6.100712,3878934324.648,3773531589.694,91447000,88962100,False
2020-06-18,42.11,64.172622,6.051849,3847866299.433,3743307779.553,91447000,88962100,False
2020-06-19,42.3,64.462169,6.079155,3865227842.935,3760197555.808,91447000,88962100,False
2020-06-22,42.1,64.157383,6.050412,3846952533.985,3742418843.961,91447000,88962100,False
2020-06-23,42.56,64.85839,6.116521,3888985744.57,3783309881.21,91447000,88962100,False
2020-06-24,43.41,66.153729,6.238679,3966655807.608,3858869406.564,91447000,88962100,False
2020-06-29,42.38,64.584083,6.090652,3872537966.515,3767309040.547,91447000,88962100,False
2020-06-30,46.62,71.045539,6.700005,4269291332.59,4144217731.721,91647000,88962100,False
2020-07-01,51.28,78.317957,7.385836,4696037313.068,4558461717.774,91647000,88962100,False
2020-07-02,56.41,86.152807,8.124708,5165824197.156,5014485676.67,91647000,88962100,False
2020-07-03,57.35,87.588433,8.260096,5251906004.377,5098045622.355,91647000,88962100,False
2020-07-06,60.27,92.048036,8.680662,5519309065.105,5357614815.333,91647000,88962100,False
2020-07-07,58.63,89.543327,8.444453,5369123784.422,5211829378.181,91647000,88962100,False
2020-07-08,59.14,90.322231,8.517908,5415827743.659,5257165093.393,91647000,88962100,False
2020-07-09,60.45,92.322943,8.706587,5535792815.424,5373615655.996,91647000,88962100,False
2020-07-10,57.93,88.474245,8.343633,5305020310.96,5149603886.713,91647000,88962100,False
2020-07-13,63.72,97.317087,9.177564,5835247612.884,5664297594.707,91647000,88962100,False
2020-07-14,60.01,91.650948,8.643214,5495499203.533,5334502489.93,91647000,88962100,False
2020-07-15,55.92,85.404449,8.054133,5120951765.732,4970927832.643,91647000,88962100,False
2020-07-16,51.3,78.348502,7.388717,4697868840.881,4560239588.959,91647000,88962100,False
2020-07-17,50.09,76.500516,7.214441,4587061408.182,4452678382.28,91647000,88962100,False
2020-07-20,51.25,78.272139,7.381515,4693290021.348,4555794910.997,91647000,88962100,False
2020-07-21,51.34,78.409593,7.394478,4701531896.507,4563795331.329,91647000,88962100,False
2020-07-22,52.39,80.013217,7.545709,4797687106.701,4657133568.53,91647000,88962100,False
2020-07-23,52.56,80.272852,7.570194,4813255093.113,4672245473.6,91647000,88962100,False
2020-07-24,50.35,76.897604,7.251889,4610871269.753,4475790707.682,91647000,88962100,False
2020-07-27,50.93,77.783416,7.335426,4663985576.337,4527348972.041,91647000,88962100,False
2020-07-28,50.68,77.4016,7.299418,4641091478.671,4505125582.231,91647000,88962100,False
2020-07-29,52.98,80.914301,7.630686,4851717177.19,4709580768.481,91647000,88962100,False
2020-07-30,52.53,80.227034,7.565873,4810507801.393,4669578666.823,91647000,88962100,False
2020-07-31,52.52,80.211761,7.564433,4809592037.487,4668689731.231,91647000,88962100,False
2020-08-03,55.0,83.999369,7.921626,5036701486.325,4889145758.143,91647000,88962100,False
2020-08-04,52.71,80.501941,7.591798,4826991551.712,4685579507.486,91647000,88962100,False
2020-08-05,53.6,81.861203,7.719985,4908494539.4,4764694775.209,91647000,88962100,False
2020-08-06,52.71,80.501941,7.591798,4826991551.712,4685579507.486,91647000,88962100,False
2020-08-07,50.79,77.569599,7.315262,4651164881.644,4514903873.747,91647000,88962100,False
2020-08-10,51.17,78.149959,7.369993,4685963910.095,4548683426.258,91647000,88962100,False
2020-08-11,51.01,77.905597,7.346948,4671311687.589,4534460456.78,91647000,88962100,False
2020-08-12,49.59,75.736886,7.142426,4541273212.852,4408231602.66,91647000,88962100,False
2020-08-13,49.64,75.813249,7.149628,4545852032.385,4412676280.622,91647000,88962100,False
2020-08-14,50.72,77.462691,7.30518,4644754534.298,4508681324.6,91647000,88962100,False
2020-08-17,50.15,79.336206,6.952846,4592555991.621,4458011995.834,91647000,88962100,False
2020-08-18,50.32,79.605142,6.976415,4608123978.034,4473123900.905,91647000,88962100,False
2020-08-19,49.13,77.722588,6.811432,4499148073.148,4367340565.41,91647000,88962100,False
2020-08-20,47.6,75.302161,6.599312,4359036195.437,4231333419.775,91647000,88962100,False
2020-08-21,47.19,74.65355,6.542469,4321489875.266,4194887060.487,91647000,88962100,False
2020-08-24,48.97,77.469471,6.78925,4484495850.642,4353117595.932,91647000,88962100,False
2020-08-25,49.85,78.861612,6.911254,4565083074.423,4431343928.063,91647000,88962100,False
2020-08-26,47.43,75.033225,6.575743,4343468209.025,4216221514.704,91647000,88962100,False
2020-08-27,48.11,76.10897,6.670018,4405740154.674,4276669134.987,91647000,88962100,False
2020-08-28,48.58,76.8525,6.73518,4448781058.284,4318449107.829,91647000,88962100,False
2020-08-31,49.1,77.675129,6.807273,4496400781.428,4364673758.633,91647000,88962100,False
2020-09-01,49.46,78.244641,6.857184,4529368282.066,4396675439.959,91647000,88962100,False
2020-09-02,50.18,79.383665,6.957005,4595303283.341,4460678802.611,91647000,88962100,False
2020-09-03,50.01,79.114729,6.933436,4579735296.929,4445566897.541,91647000,88962100,False
2020-09-04,51.23,81.044742,7.102578,4691458493.535,4554017039.812,91647000,88962100,False
2020-09-07,49.4,78.149722,6.848865,4523873698.626,4391341826.405,91647000,88962100,False
2020-09-08,49.28,77.959885,6.832228,4512884531.747,4410057319.954,91647000,89558800,False
2020-09-09,47.26,74.764289,6.552174,4327900222.613,4229287924.939,91647000,89558800,False
2020-09-10,46.8,74.036579,6.488399,4285775082.909,4188122617.164,91647000,89558800,False
2020-09-11,46.96,74.289695,6.510581,4300427305.415,4202440985.086,91647000,89558800,False
2020-09-14,50.45,79.810799,6.994438,4620028908.819,4514760385.383,91647000,89558800,False
2020-09-15,50.6,80.048096,7.015235,4633765367.419,4528183855.31,91647000,89558800,False
2020-09-16,50.1,79.257107,6.945914,4587977172.088,4483438955.554,91647000,89558800,False
2020-09-17,50.73,80.253753,7.033258,4645670298.204,4539817529.246,91647000,89558800,False
2020-09-18,50.46,79.826619,6.995825,4620944672.726,4515655283.378,91647000,89558800,False
2020-09-21,50.47,79.842439,6.997211,4621860436.633,4516550181.373,91647000,89558800,False
2020-09-22,49.35,78.070623,6.841933,4519294879.093,4416321605.92,91647000,89558800,False
2020-09-23,49.11,77.690948,6.808659,4497316545.335,4394844054.037,91647000,89558800,False
2020-09-24,46.73,73.92584,6.478694,4279364735.563,4181858331.198,91647000,89558800,False
2020-09-25,45.0,71.189018,6.238845,4120937579.72,4027040978.042,91647000,89558800,False
2020-09-28,43.33,68.547114,6.007314,3968005007.317,3877593012.857,91647000,89558800,False
2020-09-29,43.88,69.417202,6.083567,4018372022.18,3926812402.589,91647000,89558800,False
2020-09-30,43.93,69.496301,6.090499,4022950841.713,3931286892.564,91647000,89558800,False
2020-10-09,46.59,73.704363,6.459284,4266544040.87,4169329759.266,91647000,89558800,False
2020-10-12,47.08,81.881429,6.212947,4311416472.294,4213179761.027,91647000,89558800,False
2020-10-13,47.08,81.881429,6.212947,4311416472.294,4213179761.027,91647000,89558800,False
2020-10-14,45.96,79.933527,6.065146,4208850914.754,4112951185.574,91647000,89558800,False
2020-10-15,45.51,79.150888,6.005761,4167641538.957,4072680775.793,91647000,89558800,False
