date,close,pe_ttm,pb,total_mv,float_mv,total_share,float_share,is_st
2020-01-02,4.37,54.156771,2.347263,93044998318.704,76100443159.911,21599240583,17665772583,False
2020-01-03,4.48,55.519985,2.406348,95387092097.893,78016014955.699,21599240583,17665772583,False
2020-01-06,4.49,55.643914,2.411719,95600009714.183,78190157846.225,21599240583,17665772583,False
2020-01-07,4.42,54.776414,2.37412,94109586400.154,76971157612.542,21599240583,17665772583,False
2020-01-08,4.46,55.272128,2.395605,94961256865.314,77667729174.646,21599240583,17665772583,False
2020-01-09,4.42,54.776414,2.37412,94109586400.154,76971157612.542,21599240583,17665772583,False
2020-01-10,4.38,54.2807,2.352635,93257915934.994,76274586050.438,21599240583,17665772583,False
2020-01-13,4.39,54.404629,2.358006,93470833551.284,76448728940.964,21599240583,17665772583,False
2020-01-14,4.71,58.370342,2.529888,100284197272.562,82021301437.799,21599240583,17665772583,False
2020-01-15,4.56,56.511414,2.449318,97090433028.213,79409158079.908,21599240583,17665772583,False
2020-01-16,4.49,55.643914,2.411719,95600009714.183,78190157846.225,21599240583,17665772583,False
2020-01-17,4.42,54.776414,2.37412,94109586400.154,76971157612.542,21599240583,17665772583,False
2020-01-20,4.38,54.2807,2.352635,93257915934.994,76274586050.438,21599240583,17665772583,False
2020-01-21,4.2,52.049986,2.255951,89425398841.775,73140014020.967,21599240583,17665772583,False
2020-01-22,4.33,53.661057,2.325778,92193327853.544,75403871597.807,21599240583,17665772583,False
2020-01-23,4.12,51.058558,2.212981,87722057911.456,71746870896.759,21599240583,17665772583,False
2020-02-03,3.71,45.977488,1.992757,78992435643.568,64607012385.188,21599240583,17665772583,False
2020-02-04,3.78,46.844988,2.030356,80482858957.598,65826012618.871,21599240583,17665772583,False
2020-02-05,3.97,49.19963,2.132411,84528293667.106,69134727538.867,21599240583,17665772583,False
2020-02-06,3.97,49.19963,2.132411,84528293667.106,69134727538.867,21599240583,17665772583,False
2020-02-07,3.88,48.084273,2.084069,82612035120.497,67567441524.132,21599240583,17665772583,False
2020-02-10,4.08,50.562844,2.191495,86870387446.296,71050299334.654,21599240583,17665772583,False
2020-02-11,4.28,53.041415,2.298921,91128739772.095,74533157145.176,21599240583,17665772583,False
2020-02-12,4.71,58.370342,2.529888,100284197272.562,82021301437.799,21599240583,17665772583,False
2020-02-13,5.02,62.212126,2.696399,106884643377.55,87419731044.109,21599240583,17665772583,False
2020-02-14,5.42,67.169268,2.911251,115401348029.148,94385446665.153,21599240583,17665772583,False
2020-02-17,5.4,66.921411,2.900508,114975512796.568,94037160884.101,21599240583,17665772583,False
2020-02-18,5.25,65.062483,2.819939,111781748552.219,91425017526.209,21599240583,17665772583,False
2020-02-19,4.73,65.062483,2.819939,100710032505.142,82369587218.851,21599240583,17665772583,False
2020-02-20,4.68,57.998556,2.513774,99645444423.692,81498872766.221,21599240583,17665772583,False
2020-02-21,4.6,57.007128,2.470803,97942103493.373,80105729642.012,21599240583,17665772583,False
2020-02-24,4.41,54.652486,2.368749,93896668783.864,76797014722.016,21599240583,17665772583,False
2020-02-25,4.6,57.007128,2.470803,97942103493.373,80105729642.012,21599240583,17665772583,False
2020-02-26,4.38,54.2807,2.352635,93257915934.994,76274586050.438,21599240583,17665772583,False
2020-02-27,4.38,54.2807,2.352635,93257915934.994,76274586050.438,21599240583,17665772583,False
2020-02-28,4.07,50.438915,2.186124,86657469830.006,70876156444.128,21599240583,17665772583,False
2020-03-02,4.22,52.297843,2.266694,89851234074.355,73488299802.02,21599240583,17665772583,False
2020-03-03,4.27,52.917486,2.29355,90915822155.805,74359014254.65,21599240583,17665772583,False
2020-03-04,4.29,53.165343,2.304293,91341657388.385,74707300035.702,21599240583,17665772583,False
2020-03-05,4.32,53.537129,2.320407,91980410237.254,75229728707.281,21599240583,17665772583,False
2020-03-06,4.33,53.661057,2.325778,92193327853.544,75403871597.807,21599240583,17665772583,False
2020-03-09,4.17,51.678201,2.239837,88786645992.905,72617585349.389,21599240583,17665772583,False
2020-03-10,4.22,52.297843,2.266694,89851234074.355,73488299802.02,21599240583,17665772583,False
2020-03-11,4.08,50.562844,2.191495,86870387446.296,71050299334.654,21599240583,17665772583,False
2020-03-12,3.93,48.703916,2.110926,83676623201.947,68438155976.762,21599240583,17665772583,False
2020-03-13,3.85,47.712487,2.067955,81973282271.627,67045012852.554,21599240583,17665772583,False
2020-03-16,3.69,45.729631,1.982014,78566600410.988,64258726604.136,21599240583,17665772583,False
2020-03-17,3.75,46.473202,2.014242,79844106108.728,65303583947.292,21599240583,17665772583,False
2020-03-18,3.6,44.614274,1.933672,76650341864.379,62691440589.401,21599240583,17665772583,False
2020-03-19,3.56,44.11856,1.912187,75798671399.219,61994869027.296,21599240583,17665772583,False
