date,close,pe_ttm,pb,total_mv,float_mv,total_share,float_share,is_st
2020-01-02,8.68,101.578487,2.542588,5850951617.56,4618307855.56,674072767,532063117,False
2020-01-03,8.6,100.64228,2.519154,5797025796.2,4575742806.2,674072767,532063117,False
2020-01-06,8.64,101.110383,2.530871,5823988706.88,4597025330.88,674072767,532063117,False
2020-01-07,8.8,102.982798,2.577739,5931840349.6,4682155429.6,674072767,532063117,False
2020-01-08,8.61,100.759305,2.522083,5803766523.87,4581063437.37,674072767,532063117,False
2020-01-09,8.65,101.227409,2.5338,5830729434.55,4602345962.05,674072767,532063117,False
2020-01-10,8.5,99.472021,2.489862,5729618519.5,4522536494.5,674072767,532063117,False
2020-01-13,8.62,100.876331,2.525013,5810507251.54,4586384068.54,674072767,532063117,False
2020-01-14,8.75,102.397668,2.563093,5898136711.25,4655552273.75,674072767,532063117,False
2020-01-15,8.54,99.940124,2.501579,5756581430.18,4543819019.18,674072767,532063117,False
2020-01-16,9.18,107.429782,2.689051,6187988001.06,4884339414.06,674072767,532063117,False
2020-01-17,9.37,109.653274,2.744706,6316061826.79,4985431406.29,674072767,532063117,False
2020-01-20,9.19,107.546808,2.69198,6194728728.73,4889660045.23,674072767,532063117,False
2020-01-21,8.87,103.801979,2.598244,5979025443.29,4719399847.79,674072767,532063117,False
2020-01-22,8.73,102.163616,2.557234,5884655255.91,4644911011.41,674072767,532063117,False
2020-01-23,8.18,95.727192,2.396126,5513915234.06,4352276297.06,674072767,532063117,False
2020-02-03,7.36,86.131067,2.155927,4961175565.12,3915984541.12,674072767,532063117,False
2020-02-04,6.96,81.450031,2.038757,4691546458.32,3703159294.32,674072767,532063117,False
2020-02-05,7.04,82.386238,2.062191,4745472279.68,3745724343.68,674072767,532063117,False
2020-02-06,7.2,84.258653,2.109059,4853323922.4,3830854442.4,674072767,532063117,False
2020-02-07,7.58,88.705637,2.220371,5109471573.86,4033038426.86,674072767,532063117,False
2020-02-10,8.34,97.599606,2.442994,5621766876.78,4437406395.78,674072767,532063117,False
2020-02-11,8.53,99.823098,2.498649,5749840702.51,4538498388.01,674072767,532063117,False
2020-02-12,8.7,101.812539,2.548447,5864433072.9,4628949117.9,674072767,532063117,False
2020-02-13,8.85,103.567927,2.592385,5965543987.95,4708758585.45,674072767,532063117,False
2020-02-14,8.89,104.036031,2.604102,5992506898.63,4730041110.13,674072767,532063117,False
2020-02-17,9.18,107.429782,2.689051,6187988001.06,4884339414.06,674072767,532063117,False
2020-02-18,9.34,109.302197,2.735919,6295839643.78,4969469512.78,674072767,532063117,False
2020-02-19,8.98,109.302197,2.735919,6053173447.66,4777926790.66,674072767,532063117,False
2020-02-20,9.88,115.621596,2.894098,6659838937.96,5256783595.96,674072767,532063117,False
2020-02-21,9.6,112.34487,2.812079,6471098563.2,5107805923.2,674072767,532063117,False
2020-02-24,10.06,117.728062,2.946825,6781172036.02,5352554957.02,674072767,532063117,False
2020-02-25,10.3,120.536684,3.017126,6942949500.1,5480250105.1,674072767,532063117,False
2020-02-26,9.57,111.993793,2.803291,6450876380.19,5091844029.69,674072767,532063117,False
2020-02-27,9.28,108.600041,2.718343,6255395277.76,4937545725.76,674072767,532063117,False
2020-02-28,8.43,98.652839,2.469357,5682433425.81,4485292076.31,674072767,532063117,False
2020-03-02,9.04,106.520606,2.648041,6093617813.68,4809850577.68,674072767,532063117,False
2020-03-03,9.12,107.463267,2.671475,6147543635.04,4852415627.04,674072767,532063117,False
2020-03-04,9.17,108.052429,2.686121,6181247273.39,4879018782.89,674072767,532063117,False
2020-03-05,9.43,111.116075,2.762282,6356506192.81,5017355193.31,674072767,532063117,False
2020-03-06,9.57,112.765731,2.803291,6450876380.19,5091844029.69,674072767,532063117,False
2020-03-09,9.38,110.526912,2.747636,6322802554.46,4990752037.46,674072767,532063117,False
2020-03-10,9.63,113.472726,2.820867,6491320746.21,5123767816.71,674072767,532063117,False
2020-03-11,9.29,109.46642,2.721272,6262136005.43,4942866356.93,674072767,532063117,False
2020-03-12,8.92,105.106616,2.61289,6012729081.64,4746003003.64,674072767,532063117,False
2020-03-13,8.56,100.864645,2.507437,5770062885.52,4554460281.52,674072767,532063117,False
2020-03-16,7.93,93.441196,2.322894,5345397042.31,4219260517.81,674072767,532063117,False
2020-03-17,7.78,91.673708,2.278956,5244286127.26,4139451050.26,674072767,532063117,False
2020-03-18,7.91,93.205531,2.317036,5331915586.97,4208619255.47,674072767,532063117,False
2020-03-19,8.12,95.680014,2.37855,5473470868.04,4320352510.04,674072767,532063117,False
2020-03-20,8.11,95.562181,2.375621,5466730140.37,4315031878.87,674072767,532063117,False
2020-03-23,7.86,92.616368,2.30239,5298211948.62,4182016099.62,674072767,532063117,False
2020-03-24,8.09,95.326516,2.369762,5453248685.03,4304390616.53,674072767,532063117,False
2020-03-25,8.26,97.329669,2.41956,5567841055.42,4394841346.42,674072767,532063117,False
2020-03-26,8.11,95.562181,2.375621,5466730140.37,4315031878.87,674072767,532063117,False
2020-03-27,7.95,93.676861,2.328753,5358878497.65,4229901780.15,674072767,532063117,False
2020-03-30,7.49,88.256564,2.194008,5048805024.83,3985152746.33,674072767,532063117,False
