date,close,pe_ttm,pb,total_mv,float_mv,total_share,float_share,is_st
2020-01-02,18.1,-340.357948,3.433816,20858356806.813,20854736123.558,1153704572,1153504307,False
2020-01-03,18.85,-354.461178,3.576101,21722653359.582,21718882648.014,1153704572,1153504307,False
2020-01-06,19.51,-366.872021,3.701312,22483234326.018,22479331589.536,1153704572,1153504307,False
2020-01-07,18.94,-356.153566,3.593176,21826368945.914,21822580230.949,1153704572,1153504307,False
2020-01-08,17.85,-335.656872,3.386388,20570257955.891,20566687282.072,1153704572,1153504307,False
2020-01-09,18.24,-342.990551,3.460376,21019692163.33,21016043474.79,1153704572,1153504307,False
2020-01-10,18.67,-351.076403,3.541953,21515222186.917,21511487482.145,1153704572,1153504307,False
2020-01-13,18.96,-356.529652,3.59697,21849416853.988,21845624138.268,1153704572,1153504307,False
2020-01-14,18.57,-349.195972,3.522982,21399982646.548,21396267945.551,1153704572,1153504307,False
2020-01-15,19.09,-358.974212,3.621633,21999228256.468,21995409535.841,1153704572,1153504307,False
2020-01-16,19.6,-368.564408,3.718387,22586949912.35,22583029172.471,1153704572,1153504307,False
2020-01-17,19.5,-366.683977,3.699415,22471710371.981,22467809635.877,1153704572,1153504307,False
2020-01-20,20.47,-384.924155,3.883437,23589533913.562,23585439140.841,1153704572,1153504307,False
2020-01-21,20.4,-383.607853,3.870157,23508866235.303,23504785465.225,1153704572,1153504307,False
2020-01-22,22.44,-421.968639,4.257173,25859752858.834,25855264011.748,1153704572,1153504307,False
2020-01-23,24.68,-464.090285,4.682132,28441118563.102,28436181631.459,1153704572,1153504307,False
2020-02-03,22.21,-417.643648,4.213539,25594701915.985,25590259077.581,1153704572,1153504307,False
2020-02-04,24.43,-459.389209,4.634703,28153019712.18,28148132789.973,1153704572,1153504307,False
2020-02-05,25.81,-485.339152,4.896508,29743325369.274,29738162394.974,1153704572,1153504307,False
2020-02-06,26.43,-496.997822,5.01413,30457810519.562,30452523521.858,1153704572,1153504307,False
2020-02-07,26.44,-497.185865,5.016028,30469334473.599,30464045475.517,1153704572,1153504307,False
2020-02-10,25.46,-478.757644,4.830108,29339986977.982,29334894016.894,1153704572,1153504307,False
2020-02-11,25.83,-485.715238,4.900302,29766373277.348,29761206302.292,1153704572,1153504307,False
2020-02-12,26.54,-499.066295,5.034999,30584574013.968,30579265012.112,1153704572,1153504307,False
2020-02-13,26.59,-500.006511,5.044485,30642193784.153,30636874780.409,1153704572,1153504307,False
2020-02-14,27.0,-507.716276,5.122267,31114675899.666,31109274880.445,1153704572,1153504307,False
2020-02-17,28.65,-538.743382,5.435295,33016128315.757,33010397234.25,1153704572,1153504307,False
2020-02-18,30.49,-573.343306,5.784368,35136535858.549,35130436707.584,1153704572,1153504307,False
2020-02-19,29.5,-554.727043,5.596551,33995664408.895,33989763295.301,1153704572,1153504307,False
2020-02-20,29.51,-554.915086,5.598448,34007188362.932,34001285248.961,1153704572,1153504307,False
2020-02-21,30.87,-580.488943,5.856459,35574446111.952,35568270946.642,1153704572,1153504307,False
2020-02-24,33.09,-622.234503,6.277623,38132763908.147,38126144659.034,1153704572,1153504307,False
2020-02-25,33.3,-626.183408,6.317463,38374766942.922,38368105685.882,1153704572,1153504307,False
2020-02-26,29.97,-563.565067,5.685717,34537290248.63,34531295117.294,1153704572,1153504307,False
2020-02-27,26.97,-507.152147,5.116576,31080104037.556,31074709019.467,1153704572,1153504307,False
2020-02-28,27.45,-516.178214,5.207638,31633253831.327,31627762795.119,1153704572,1153504307,False
2020-03-02,27.03,1540.926205,5.127959,31149247761.777,31143840741.423,1153704572,1153504307,False
2020-03-03,26.59,1515.842685,5.044485,30642193784.153,30636874780.409,1153704572,1153504307,False
2020-03-04,24.8,1413.798367,4.704897,28579406011.545,28574445075.372,1153704572,1153504307,False
2020-03-05,25.33,1444.012607,4.805445,29190175575.502,29185108619.321,1153704572,1153504307,False
2020-03-06,24.85,1416.648767,4.714383,28637025781.73,28632054843.669,1153704572,1153504307,False
2020-03-09,22.83,1301.49261,4.331161,26309187066.273,26304620204.465,1153704572,1153504307,False
2020-03-10,24.92,1420.639327,4.727663,28717693459.988,28712708519.285,1153704572,1153504307,False
2020-03-11,23.57,1343.678529,4.47155,27161959665.005,27157244775.263,1153704572,1153504307,False
2020-03-12,24.16,1377.313248,4.583481,27841872953.183,27837040041.169,1153704572,1153504307,False
2020-03-13,24.95,1422.349567,4.733354,28752265322.099,28747274380.263,1153704572,1153504307,False
2020-03-16,22.73,1295.79181,4.31219,26193947525.904,26189400667.871,1153704572,1153504307,False
2020-03-17,22.42,1278.119331,4.253379,25836704950.76,25832220104.429,1153704572,1153504307,False
2020-03-18,21.21,1209.139652,4.023825,24442306512.293,24438063711.639,1153704572,1153504307,False
2020-03-19,22.2,1265.577571,4.211642,25583177961.948,25578737123.922,1153704572,1153504307,False
2020-03-20,22.0,1254.175971,4.173699,25352698881.21,25348298050.733,1153704572,1153504307,False
2020-03-23,19.85,1131.608774,3.765815,22875048763.273,22871078013.957,1153704572,1153504307,False
2020-03-24,20.0,1140.159974,3.794272,23047908073.827,23043907318.848,1153704572,1153504307,False
2020-03-25,20.24,1153.841893,3.839803,23324482970.713,23320434206.674,1153704572,1153504307,False
2020-03-26,19.78,1127.618214,3.752535,22794381085.015,22790424338.341,1153704572,1153504307,False
2020-03-27,19.23,1096.263815,3.648192,22160563612.985,22156716887.073,1153704572,1153504307,False
